Model,Displ,Cyl,Trans,Drive,Fuel,Cert_Region,Stnd,Stnd_Description,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score,SmartWay,Price_EUR
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVGAT02.0A3P,small SUV,6,55,61,258,8,Yes,32200.0
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,105,93,99,10,Elite,46000.0
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,46000.0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,46000.0
AUDI SQ6 e-tron,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,46000.0
"AUDI SQ8 Sportback e-tron (21/22 in.
wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,46000.0
AUDI SQ8 e-tron (20 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,46000.0
BMW 550e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXV03.0H5P,midsize car,6,64,70,67,9,Yes,27600.0
BMW 750e xDrive,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0H70,large car,6,24,72,65,9,Yes,27600.0
BMW X5 xDrive50e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0H70,standard SUV,6,22,23,22,9,Yes,46000.0
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,80,80,80,10,Elite,18400.0
BMW i5 M60 xDrive Sedan (19'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,89,91,90,10,Elite,18400.0
BMW i5 eDrive40 Sedan (19'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,104,105,105,10,Elite,18400.0
BMW i7 M70 xDrive Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXJ00.0I2T,large car,10,72,79,75,10,Elite,27600.0
BMW iX xDrive40 (20'' Wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXT00.0I2M,standard SUV,10,87,85,86,10,Elite,46000.0
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65PH,minivan,6,29,30,30,9,Yes,27600.0
GENESIS Electrified G80,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SHYXV00.0H00,midsize car,10,105,89,97,10,Elite,27600.0
GENESIS GV60 AWD Performance,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0302,small SUV,10,97,82,90,10,Elite,32200.0
GMC Hummer EV Pickup,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SGMXT00.0012,pickup,10,59,47,53,10,Elite,27600.0
GMC Hummer EV SUV,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SGMXT00.0012,standard SUV,10,59,46,53,10,Elite,46000.0
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,CA,OT,Other,SHNXV02.0GES,midsize car,6,50,47,49,8,Yes,27600.0
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHNXV02.0GES,midsize car,6,50,47,49,8,Yes,27600.0
HYUNDAI Elantra Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV01.6C13,midsize car,6,49,52,50,8,Yes,27600.0
HYUNDAI Elantra Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHYXV01.6C13,midsize car,6,49,52,50,8,Yes,27600.0
HYUNDAI Ioniq 5 N,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0W04,small SUV,10,84,72,78,10,Elite,32200.0
"HYUNDAI Kona Electric (19"" Wheels)",,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SHYXV00.0K01,small SUV,10,113,93,103,10,Elite,32200.0
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SHYXV02.0E13,large car,6,44,51,47,8,Yes,27600.0
KIA EV9 Long Range AWD,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SKMXV00.0300,standard SUV,10,91,75,83,10,Elite,46000.0
KIA Niro,1.6,4.0,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SKMXV01.6213,small SUV,6,53,45,49,8,Yes,32200.0
KIA Sportage Plug-in Hybrid,1.6,4.0,AMS-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SKMXT01.6P2T,small SUV,6,36,35,35,9,Yes,32200.0
LAND ROVER Range Rover P550 PHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SJLXT03.0PTC,standard SUV,6,21,56,53,9,Yes,46000.0
LEXUS NX 450h+,2.5,4.0,SCV-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,STYXT02.5P3W,small SUV,6,38,33,36,9,Yes,32200.0
